# x rho u P T
5.4887218045e-01 1.0567421879e+02 1.4997357999e+02 1.0680983051e+06 2.3482950000e+02
5.5137844612e-01 9.9949570483e+01 1.5485142948e+02 1.0241891488e+06 2.3367750000e+02
5.5388471178e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.5639097744e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.5889724311e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.6140350877e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.6390977444e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.6641604010e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.6892230576e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.7142857143e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.7393483709e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.7644110276e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.7894736842e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.8145363409e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.8395989975e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.8646616541e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.8897243108e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.9147869674e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.9398496241e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.9649122807e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
5.9899749373e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.0150375940e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.0401002506e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.0651629073e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.0902255639e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.1152882206e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.1403508772e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.1654135338e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.1904761905e-01 9.9949570483e+01 1.5485142948e+02 1.0023371192e+06 2.3309150000e+02
6.2155388471e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.2406015038e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.2656641604e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.2907268170e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.3157894737e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.3408521303e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.3659147870e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
